id,hostname,role,make_model,cpu,ram,gpu,storage_controllers,os_hypervisor,kernel,pve_version,mgmt_ip,vlan30_ip,bmc_ip,vlan,switchport,ups,criticality,status,notes
H-01,pve1,Standalone Pi-hole/homepage host,Apple Mac Mini (runs PVE not macOS),Intel,16GB,none,internal,Proxmox VE,7.0.0-3-pve,9.1.9,192.168.10.193,-,none (no BMC),1,-,unknown,high,up,"NOT a cluster member; 142 pending updates; openipmi.service failed (no BMC); CT103 primary Pi-hole + CT104 homepage; NO backup job"
H-02,pve2,OPNsense host + cluster node,HP EliteDesk 800 G4,Intel i7-8700,32GB,none,internal,Proxmox VE,7.0.12-1-pve,9.2.3,192.168.10.204,-,none,1,-,Tripp Lite,critical,up,"hosts OPNsense VM100 = edge SPOF; reboot-required; excluded from ansible hardening"
H-03,pve3,Core services + RKE2 cp1,HP EliteDesk 800 G4,Intel i7-8700,48GB,none,internal,Proxmox VE,7.0.12-1-pve,9.2.3,192.168.10.201,-,none,1,-,Tripp Lite,critical,up,"NPM/Vaultwarden/Homepage/OpenWebUI CTs + VM201; only trunked EliteDesk (VLAN30 pinned); e1000e TSO/GSO-off mitigation persisted"
H-04,pve4,Grafana stack + RKE2 cp2,HP EliteDesk 800 G3 Mini,Intel i5-7500T,32GB,none,internal,Proxmox VE,7.0.12-1-pve,9.2.3,192.168.10.202,-,none,1,-,Tripp Lite,high,up,"CT103 Grafana/Prom/Loki/InfluxDB + VM202; sustained load ~5"
H-05,pve5,Headscale + Pi-hole2 + RKE2 cp3 + HA/HAOS,HP EliteDesk 800 G3 Mini,Intel i5-7500T,32GB,none,internal,Proxmox VE,7.0.12-1-pve,9.2.3,192.168.10.203,-,none,1,-,Tripp Lite,high,up,"CT105 Headscale + CT108 pihole2 + VM110 HomeAssistant + VM203"
H-06,QuarkyLab,ML / DUNE research / student GPU,Dell PowerEdge R730,2x Xeon E5-2699 v4 (44c/88t),512GB LRDIMM,1x Quadro RTX 8000 48GB,PERC H330 (JBOD) + onboard,Proxmox VE,6.14.11-9-pve (PINNED),9.2.3,192.168.10.179,192.168.30.179,192.168.20.20 (iDRAC8),1+30,ge-0/0/24,Middle Atlantic,critical,up,"kernel+nvidia-* held; workspace raidz1 10.9T ONLINE; VM104 Wazuh; SLURM student+research partitions; BIOS 2.19.0"
H-07,Jarvis,LLM inference,Dell PowerEdge R730,2x Xeon E5-2687W v4,384GB LRDIMM,2x Quadro RTX 6000 24GB (48GB total),HBA330 IT-mode,Proxmox VE,6.14.11-9-pve (PINNED),9.2.3,192.168.10.31,192.168.30.31,192.168.20.21 (iDRAC8),1+30,ge-0/0/22 + xe-0/2/2 (10G),Middle Atlantic,critical,up,"kernel held (NOT nvidia pkgs - narrower than QuarkyLab); tank 9.09T + scratch 186G ONLINE; llm_router+ollama active; gpu-fan-control daemon"
H-08,Randy,Storage / PBS / Jellyfin / RKE2 storage worker,SuperMicro CSE-219U / X10DRU-i+,2x Xeon E5-2690 v3 (24c/48t),128GB ECC (192 planned),RX 580 8GB (transcode),LSI 9207-8e IT (data) + AVAGO 3108 (boot),Proxmox VE,7.0.12-1-pve,9.2.3 (docs say 9.1.1 - DRIFT),192.168.10.187,192.168.30.187,192.168.20.22 (IPMI),1+30,xe-0/2/0 (10G),Middle Atlantic,critical,up,"datastore 36.7T ONLINE (4x RAIDZ2); bulk 80T DEGRADED mpathv FAULTED; PBS 8007; single backup target = 3-2-1 gap"
H-09,DS4246,JBOD disk shelf,NetApp DS4246 (24-bay),n/a,n/a,n/a,dual SAS to Randy LSI 9207-8e + multipath,n/a,n/a,n/a,-,-,n/a,-,Middle Atlantic,high,degraded,"22x 4TB SAS (2 free bays); slot 15 drive dead 2026-07-21; single enclosure = SPOF for bulk"
N-01,EX3400-48P,Core switch,Juniper EX3400-48P,n/a,n/a,n/a,n/a,JunOS,n/a,23.4R2-S7.4,192.168.10.50,-,n/a,all,self,Tripp Lite,critical,up,"RSTP root (prio 4096); dual PSU; SSH key auth broken (R-09); xe-0/2/3 DOWN (SFP EEPROM speed mismatch)"
N-02,UniFi USW-24-250W,Access switch,Ubiquiti USW-24-250W,n/a,n/a,n/a,n/a,UniFi,n/a,n/a,-,-,n/a,1+20/30/40/50/60/70,ge-0/0/46 trunk,Tripp Lite,medium,up,"trunk to EX3400 ge-0/0/46"
N-03,UniFi Dream Router,Wireless controller/AP,Ubiquiti UDR,n/a,n/a,n/a,n/a,UniFi,n/a,n/a,192.168.10.2,-,n/a,1,-,Tripp Lite,medium,up,"VLAN1 controller/AP - NOT the WAN edge (common misread)"
N-04,EX2300-48P,Lab access switch,Juniper EX2300-48P,n/a,n/a,n/a,n/a,JunOS,n/a,n/a,-,-,n/a,all,ge-0/0/45 trunk,Tripp Lite,low,up,"lab/CCNA"
N-05,APC AP7901,Managed PDU,APC AP7901,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,n/a,1,ge-0/0/38,-,medium,up,"switched PDU"
P-01,Middle Atlantic UPS-OL2200R,UPS-B (servers),Middle Atlantic UPS-OL2200R,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,n/a,-,-,self,critical,up,"feeds R730s + Randy + DS4246; live load 36%, ~29min runtime, 100% batt, OL"
P-02,Tripp Lite SMART1500,UPS-A (network/small),Tripp Lite SMART1500VA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,n/a,-,-,self,critical,up,"feeds EX3400/UniFi/EliteDesks; live load 59%, ~9.5min runtime, 100% batt, OL - overloaded relative to B"
W-01,Ares,Admin workstation,Laptop (Debian 12),Intel,32GB,-,-,Debian 12,-,-,192.168.10.199,-,192.168.20.199 (jump leg),1+20,-,-,high,up,"control node for ansible/backups/dashboard; hosts backup-verify + opnsense-config-backup timers; ~/.claude backed up hourly to Randy"
